MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
W21-5BR,RIGHT SHOULDER CLOSED (_) SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5br.png,PA Highways
W21-5BR,RIGHT SHOULDER CLOSED (_) SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5br.png,PA Highways
W21-6,SURVEY CREW SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-6.png,PA Highways
W21-6,SURVEY CREW SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-6.png,PA Highways
W21-7,UTILITY WORK AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-7.png,PA Highways
W21-9A,NO GUIDE RAIL SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-9a.png,PA Highways
W21-9A,NO GUIDE RAIL SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-9a.png,PA Highways
W21-9A,NO GUIDE RAIL SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-9a.png,PA Highways
W2-2,SIDE ROAD SIGN,"18""x18""",  18.00 ,  18.00 ,  2.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w2-2.png,PA Highways
W2-2,SIDE ROAD SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w2-2.png,PA Highways
W2-2,SIDE ROAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w2-2.png,PA Highways
W2-2,SIDE ROAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w2-2.png,PA Highways
W22-1,BLASTING ZONE AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w22-1.png,PA Highways
