PATA Number,PATA Description,Condition,PATA Series,PATA Series Description,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_count_1,sign_count_2,sign_count_3,sign_count_4,sign_count_5,sign_count_6,sign_count_7,sign_count_8,blight_red_count
213-B,Work in Left Two Lanes,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5AL,W4-2L,G20-2,,,,,,,,,,,,,
214,Detour of a Numbered Traffic Route,Road Closure with Detour,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-2,W20-3,M1-5,M4-8A,M4-10L,M4-10R,R11-2,R11-4,,,,,,,,,
215,Detour of a Quadrant Route,Road Closure with Detour,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-2,W20-3,M4-9S,M4-9L,M4-9R,M4-8A,M4-10L,M4-10R,,,,,,,,,
216,Sidewalk Closed with Pedestrian Detour,Work Space Located on Sidewalks,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,R9-9,R9-11a,,,,,,,,,,,,,
217,Sidewalk Closed with Pedestrian Diversion,Work Space Located on Sidewalks,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
218,Sidewalk and Crosswalk Closure with Pedestrian Detour,Work Space Located on Sidewalks,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W11-2,W16-7P,W16-9P,G20-2,R9-9,R9-10,R9-11a,,,,,,,,,
219,Crosswalk Closure with Pedestrian Detour,Work Space Located on Sidewalks,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,R9-11a,,,,,,,,,,,,,,
301-A,Single-Lane Approach,Work on or Beyond the Shoulder,PATA 300 Series Index,Mobile Operations on Conventional Highways,G20-1,,,,,,,,,,,,,,,,
301-B,Multi-Lane One-Way Approach - Right Shoulder,Work on or Beyond the Shoulder,PATA 300 Series Index,Mobile Operations on Conventional Highways,G20-1,,,,,,,,,,,,,,,,
301-C,Multi-Lane Approach - Left Shoulder,Work on or Beyond the Shoulder,PATA 300 Series Index,Mobile Operations on Conventional Highways,G20-1,,,,,,,,,,,,,,,,
307,Mowing Where Tractor Remains on or Beyond Shoulder,Work on or Beyond the Shoulder,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-1,W21-14,G80-1,V1-6-1,,,,,,,,,,,,,
302,"Two­Lane, Two-Way Approach - Mobile Flagging",Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,,,,,,,,,,,,,,,,,
302,Temporary Work Stoppage/Slowdown (Figure 302-­1),Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,,,,,,,,,,,,,,,,,
302,Flagger Relocation ­ Walking (Figure 302­-2 through 302­-5),Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,,,,,,,,,,,,,,,,,
302,Flagger Relocation ­ Riding in Work Vehicle (Figure 302-­6 through 302­-9),Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,,,,,,,,,,,,,,,,,
302,Flagger Relocation ­ Riding in Pilot Vehicle (Figure 302­-10 through 302­-13),Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,,,,,,,,,,,,,,,,,
303,Workers Remain in Vehicles Throughout Operation,Work on Single-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-1,,,,,,,,,,,,,,,,
304-A,Work in Right Lane - Undivided Highway,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5R,,,,,,,,,,,,,,,,
304-B,Work in Left Lane - Undivided Highway,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5L,,,,,,,,,,,,,,,,
305-A,Work in Right Lane - Divided Highway,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5R,,,,,,,,,,,,,,,,
305-B,Work in Left Lane - Divided Highway,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5L,,,,,,,,,,,,,,,,
306-A,Work in Right Lane of 3 Lane Approach,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5R,,,,,,,,,,,,,,,,
306-B,Work in Left Lane of 3 Lane Approach,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-5L,,,,,,,,,,,,,,,,
306-C,Work in Center Lane of 3 Lane Approach,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W9-3,,,,,,,,,,,,,,,,
307,Mowing Where Tractor Utilizes the Roadway to Perform Operations,Work on Multi-Lane Approach,PATA 300 Series Index,Mobile Operations on Conventional Highways,W20-1,W21-14,G80-1,V1-6-1,,,,,,,,,,,,,
401-A,Work on Right Side,Work on or Beyond the Shoulder,PATA 400 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,,,,,,,,,
401-B,Work on Left Side,Work on or Beyond the Shoulder,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,,,,,,,,,,,,,,,,
402-A,Work in Right Lane,Work on Two­Lane Approach,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5R,W4-2R,,,,,,,,,,,,,,
402-B,Work in Left Lane,Work on Two­Lane Approach,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5L,W4-2L,,,,,,,,,,,,,,
408,Work in All Lanes Requiring a Rolling Slow Down or Stoppage,Work on Two­Lane Approach,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W3-4,W20-3,W20-101,G80-1,,,,,,,,,,,,,
403-A,Work in Right and Center Lanes,Work on Three­Lane Approach,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5AR,W4-2R,,,,,,,,,,,,,,
403-B,Work in Left and Center Lanes,Work on Three­Lane Approach,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5AL,W4-2L,,,,,,,,,,,,,,
404-A,Work in Right Lane Near Right­Exit Ramp,Work Near Interchange Ramps,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5R,W4-2R,W25-4,,,,,,,,,,,,,
404-B,Work in Left Lane Near Left­Exit Ramp,Work Near Interchange Ramps,PATA 400 Series Index,Short-Term Stationary Operations on Freeways & Expressways,W20-1,W20-5L,W4-2L,W25-4,,,,,,,,,,,,,
